ID,Year_Birth,Customer_age,Education,Marital_Status,Income,DependentHome,Dt_Customer,Customer_duration_days,Customer_Age_Enr,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,MntTotal,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,TotalPurchases,NumWebVisitsMonth,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,TotalCampaignsAcc,Response,Complain,Country
1826,1970,54,Graduation,Single,84835.0,0,2014-06-16,3627,44,0,189,104,379,111,189,218,1190,1,4,4,6,14,1,0,0,0,0,0,1,1,0,ESP
1,1961,63,Graduation,Single,57091.0,0,2014-06-15,3628,53,0,464,5,64,7,0,37,577,1,7,3,7,17,5,0,1,0,0,0,2,1,0,CAN
10476,1958,66,Graduation,Married,67267.0,1,2014-05-13,3661,56,0,134,11,59,15,2,30,251,1,3,2,5,10,2,0,0,0,0,0,0,0,0,USA
1386,1967,57,Graduation,Together,32474.0,2,2014-05-11,3663,47,0,10,0,1,0,0,0,11,1,1,0,2,3,7,0,0,0,0,0,0,0,0,AUS
5371,1989,35,Graduation,Single,21474.0,1,2014-04-08,3696,25,0,6,16,24,11,0,34,91,2,3,1,2,6,7,0,0,1,0,0,2,1,0,ESP
7348,1958,66,PhD,Single,71691.0,0,2014-03-17,3718,56,0,336,130,411,240,32,43,1192,1,4,7,5,16,2,0,0,0,0,0,1,1,0,ESP
4073,1954,70,2n Cycle,Married,63564.0,0,2014-01-29,3765,60,0,769,80,252,15,34,65,1215,1,10,10,7,27,6,0,0,1,0,0,2,1,0,GER
1991,1967,57,Graduation,Together,44931.0,1,2014-01-18,3776,47,0,78,0,11,0,0,7,96,1,2,1,3,6,5,0,0,0,0,0,0,0,0,ESP
4047,1954,70,PhD,Married,65324.0,1,2014-01-11,3783,60,0,384,0,102,21,32,5,544,3,6,2,9,17,4,0,0,0,0,0,0,0,0,USA
9477,1954,70,PhD,Married,65324.0,1,2014-01-11,3783,60,0,384,0,102,21,32,5,544,3,6,2,9,17,4,0,0,0,0,0,0,0,0,IND
